review,sentiment,dissatisfaction
at first gumagana cya..pero pagnalowbat cya ndi na ya magamit kahit ilang oras mo cya icharge namamatay agad..poor quality..not for recommended..,1,
grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,1,
2l gray/black order ko. bakit 850ml lang po pinadala nyo. kung di na po available yung product dapat di nyo pinilit yung gusto nyo. kelangan ko po yung 2l kahit anong color n lng po sana. . . return? i think di na aabot sa saturday. hay naku! tsk.,1,
walang silbing product.. bwesit. di gumagana dalawa pa,1,
"0/10 sa effectiveness po nya 0/10 dahil kakalagay ko lang then wala man lang ilang kalahating minuto uminom lang ako wala na agad ung kulay sa lips ko. kala ko nag sstay sya ng matagal kahit nga punasan mo pa ng wipes, pero hindi man pla scam lang po.",1,
mahina lng ang hangin khit nka maximum na. mabilis ma low batt.. pinapawisan p rin lalo n yung batok,1,
not worth it ang bilis n'ya ma-lowbat and ang tagal n'ya pang i-charge,1,
mahirap buksan yung payong. need mo pa itulak. sana na check man lang bago ipadala.,1,
wrong color & design. sana kung di na available yung black mag message namn kayo if ano available. desisyon yarrrnnn? kakainis ganitong seller.,1,
"ayaw gumana ng remote control, my dent ung product na pinadala ni seller, sana bago ipa ship check muna mabuti ni seller ung item na ipapadala para hnd nakaka disappoint sa client pag na recieve ung item",1,
terrible blue order ko pero pink yung dumating sakin para sana sa anak kong lalaki pero pink yung dumating sakin nakaka dissapoint,1,
wrong color po yung dumating tapos yung green natanggal yung cover niya,1,
"5/10 ang mahal ng payong, nd nmn ganun ka quality.. sira pa, sabi ko seller if ayaw bilik pera ko change items nd na nag reply..",1,
sabe q ky seller mga mahaba ang ipadala nya pagdating sakin isa ang mahaba kulay biege lang panu pa masusuot ng omorder skin e ang iiksi,1,
"close to ok lang i contacted the seller and they admitted that they intentionaly sent the wrong color without informing me. the problem is i ordered it as gift for a man, so purple is not really ok! and both bottles have scratches doesnt look new for me. ",1,
"not good sana nman ung ok ipadeliver nyo,",1,
ang pangit ng item sorry ahhh n ung size kala mo pang bata,1,
5 mystery box binili ko pero 5 din na magkapareho na mystery box. anong mystery jan. bumili paman din ako ng 5 para ma surprise ako. na surprise nga kasi magkaka pareho umay. wala man lang mouse o keyboard.,1,
"0/10 d maganda yung product matqgal matuyo, kumakalat sa mata, hindi water proof.",1,
sigundo ko lng sya nagamit bago yung battery nilagay ko pero pahinto hinto sya...hindi na ako bibilin ng ganyan much better nag ahit nalang sana ulit ako...,1,
"grabe naman to'h 2 liters order ko tapos dumating 1 liter lang. bibigay ko pa sana sa mama ko kaso pang grade 1. diko na masauli kase diko alam pano, dadalhin pa daw sa may j&t para masaoli ehh wala akong alam san yun . ",1,
"ang dali ra masira oy. at first madali gamitin, ngayon ay di na nakakaputol ng hair. na s-stuck na sya. yun lang. thanks!!",1,
"change feedback, mag isa syang nag aactivate nang timer kagabi, parang sira",1,
"dalawa yung binili ko, isa sakin tsaka sa friend ko. first of all, kaunti lang yung laman nung isa, habang medyo mas lamang yung sa isa. about sa color, maroon yung sa tingin kong dapat maging kakalabasan niya pero violet yung kulay niya kapag nilagay na sa labi. also, kulang",1,
ok na sana pero hindi 10 meters 6 meters lang... saan ang 4 meters kada isang roll??? magpa katotoo naman sa post niyo...,1,
amoy plastic amputa tagal ko inorder now lang dumating. amoy plastic pa huhu why,1,
"not good/ not satisfied omg! sa quality nya para sakin hindi okay akala ko yung na sstrech talaga sya e hindi naman pala. sa picture at live na nagbebenta goods sya in person hindi na pala pero thats business, sobrang nanghinayang ako",1,
actually kala ko 10meters pro 6meters lang ng sinukat ko,1,
